,daya_baterai,px_panjang,px_lebar,berat_hp,tebal_hp,kapasitas_ram,jumlah_prosesor,price_range,bluetooth_0,bluetooth_1
1,764,361,511,152,1.0,3148,8,2,0,1
2,1812,380,1550,162,1.0,3338,7,3,0,1
6,1671,398,1263,179,0.9,815,8,0,1,0
7,852,538,730,147,0.4,1275,5,0,0,1
10,1027,1698,1747,103,0.9,3786,2,3,1,0
14,1358,889,1635,147,0.6,440,3,0,1,0
15,1606,1127,1924,154,0.1,3454,4,3,1,0
16,841,546,828,199,0.1,2942,6,2,0,1
17,1066,1242,1571,114,0.9,468,7,0,1,0
19,1365,293,970,125,0.3,1300,4,0,1,0
22,1874,1238,1418,192,0.8,1218,2,1,0,1
24,1083,523,542,173,1.0,3248,8,2,0,1
27,712,881,1234,172,0.8,3612,2,3,0,1
29,1546,91,1317,101,0.2,3521,1,3,0,1
30,1058,493,1247,166,0.4,418,4,0,1,0
32,1070,90,1614,160,0.8,2647,7,2,0,1
34,1490,1417,1464,150,0.3,3600,8,3,0,1
35,635,193,989,97,0.3,2107,5,1,0,1
37,1146,73,583,111,0.4,291,5,0,1,0
38,1379,838,885,129,0.2,2358,2,2,1,0
40,1530,454,1975,177,0.8,725,6,0,1,0
41,820,468,694,160,0.3,1284,4,0,1,0
44,1482,634,642,142,0.2,2971,7,2,1,0
46,1122,1578,1963,184,0.6,1402,3,1,1,0
48,723,1467,1901,102,0.3,2339,1,2,0,1
51,1288,988,1503,115,0.2,1882,6,2,1,0
52,1544,236,857,113,0.1,1300,8,1,1,0
53,1660,223,1777,169,0.8,2402,2,2,1,0
54,1872,81,1389,139,0.2,3153,7,3,0,1
55,609,938,1948,93,0.3,1866,4,1,1,0
56,614,22,519,128,0.2,3487,7,2,1,0
58,894,158,747,123,0.1,3305,2,2,1,0
59,1537,839,1131,137,0.3,3685,1,3,0,1
61,1989,1100,1497,94,0.8,1665,3,2,1,0
66,1327,441,1721,89,0.5,872,7,0,1,0
68,1949,407,822,199,0.3,1433,4,1,1,0
70,1063,201,582,86,0.2,2668,6,2,1,0
71,1433,281,799,133,0.7,258,8,0,1,0
72,557,322,710,89,0.2,2623,6,1,1,0
73,672,574,1267,99,0.1,1403,8,0,1,0
74,614,409,603,94,0.2,1930,4,1,1,0
75,902,675,1285,134,0.3,3411,7,3,0,1
76,1413,1920,1994,104,0.4,2973,5,3,0,1
77,1097,419,1914,161,0.2,1725,3,1,1,0
78,1502,65,588,138,0.2,3693,5,3,0,1
79,595,623,816,122,0.4,1593,2,0,1,0
80,948,340,1728,119,0.3,2926,4,2,1,0
82,1791,371,682,110,0.5,594,5,0,0,1
85,1404,1703,1880,151,0.9,1196,1,1,1,0
86,1647,193,1185,102,0.3,2532,6,2,1,0
87,833,359,1395,124,0.9,2150,1,1,0,1
88,1872,1546,1879,111,0.6,2419,3,3,0,1
94,1442,266,642,127,0.4,991,5,0,1,0
96,1135,293,1846,83,0.3,3029,1,3,0,1
100,833,649,1290,145,0.3,586,4,0,0,1
102,860,692,979,141,0.7,3869,6,3,0,1
103,1330,980,1262,83,0.3,463,5,0,0,1
104,1149,1617,1675,106,0.2,3755,6,3,0,1
107,1539,1112,1666,159,0.1,2107,8,2,0,1
109,606,465,1152,146,0.2,1223,4,0,1,0
113,1944,1060,1970,197,0.1,584,6,1,0,1
114,589,759,1858,146,0.7,362,8,0,0,1
115,1546,1138,1491,124,0.7,267,2,0,0,1
119,947,1176,1220,197,0.1,2842,2,2,1,0
122,1312,115,1791,156,0.9,3833,6,3,0,1
123,1027,152,714,102,0.8,1732,5,1,0,1
124,1417,364,1029,166,0.9,2129,4,1,0,1
125,1407,1172,1217,104,0.7,2192,4,2,0,1
127,1512,1079,1897,88,0.1,3607,3,3,0,1
128,798,526,643,96,0.2,2965,3,2,1,0
130,1476,1789,1972,148,0.7,3644,2,3,1,0
131,1646,211,1608,200,0.6,686,2,0,1,0
137,1313,416,1308,105,0.4,3791,1,3,0,1
140,1421,781,1657,165,0.4,2775,1,3,1,0
141,1744,68,718,112,0.5,1205,8,1,0,1
143,719,431,1727,113,0.4,3990,6,3,0,1
144,576,847,893,162,0.8,2800,8,2,1,0
145,1285,1791,1896,199,0.8,3966,5,3,1,0
147,1269,1597,1920,118,0.8,665,2,1,0,1
150,1251,308,591,133,0.7,1052,6,0,1,0
152,1686,397,1453,166,0.1,2958,4,3,0,1
154,1886,809,1958,112,0.4,1179,3,1,1,0
155,838,984,1850,196,0.1,3554,8,3,1,0
156,684,159,1738,157,1.0,3756,5,3,0,1
158,630,66,1448,180,0.5,1212,8,0,1,0
159,794,312,1376,197,0.6,2171,3,1,1,0
165,1314,328,1858,116,0.8,3033,7,3,0,1
166,1397,433,1658,121,0.2,1378,3,1,1,0
167,1307,897,1103,88,0.6,1412,7,1,1,0
168,1893,1203,1432,179,0.1,1482,8,2,0,1
170,569,389,739,184,0.1,2811,8,1,1,0
171,816,149,558,198,0.9,1018,3,0,0,1
175,1976,1301,1922,171,0.8,3699,2,3,0,1
176,1002,1345,1416,83,0.5,1726,2,1,1,0
180,1322,443,708,157,0.1,3684,1,3,1,0
181,983,1001,1176,187,0.9,1389,1,1,1,0
182,1462,91,1478,182,0.2,824,7,0,0,1
185,1004,901,1162,141,0.2,3772,6,3,0,1
186,591,952,1726,196,0.5,704,7,0,1,0
187,1063,295,935,95,0.9,961,6,0,0,1
188,608,4,1351,94,0.9,2517,4,1,0,1
189,1454,186,1100,160,0.2,719,4,0,0,1
191,1780,1331,1463,190,0.1,2776,4,3,0,1
192,709,1545,1596,136,0.1,1973,1,1,0,1
193,1997,866,1212,185,0.5,1655,4,2,0,1
195,1762,643,790,157,0.1,1380,4,1,1,0
197,1130,1495,1579,101,0.9,315,1,0,1,0
198,527,67,1924,128,0.9,1302,1,0,1,0
199,1083,925,1469,126,0.9,681,2,0,1,0
200,616,651,1618,81,0.8,3366,3,3,1,0
202,881,115,636,160,0.5,2110,3,1,1,0
205,1456,823,1104,105,0.4,1587,5,1,0,1
206,1596,169,1190,149,0.7,2493,2,2,1,0
207,672,578,1143,95,0.9,667,4,0,0,1
209,1699,466,1768,97,0.5,3796,4,3,1,0
210,530,818,1090,118,0.9,1229,6,0,0,1
215,860,1573,1581,170,0.7,2832,3,2,0,1
218,564,912,1980,168,0.5,1074,3,0,1,0
220,1777,553,874,100,0.2,1552,4,1,1,0
221,713,1211,1378,181,0.4,485,8,0,0,1
222,1053,594,1767,103,0.3,3086,1,3,0,1
225,724,1273,1754,187,0.5,2311,7,2,1,0
226,1944,313,712,92,0.5,2322,4,2,0,1
227,662,1001,1224,138,0.8,2125,1,1,1,0
229,586,241,854,83,0.2,2592,3,1,1,0
230,823,822,1449,148,0.5,905,8,0,0,1
232,1582,1486,1797,112,0.5,3890,6,3,1,0
234,1754,199,1452,101,1.0,3019,4,3,0,1
236,1692,674,1925,139,0.9,1394,1,1,1,0
237,1724,655,828,100,0.8,3056,2,3,0,1
238,511,140,622,175,0.1,1484,3,0,0,1
239,851,1171,1263,200,0.4,478,5,0,1,0
244,844,777,1995,197,0.9,3154,7,3,1,0
245,837,638,1831,104,0.2,594,5,0,1,0
246,695,1649,1829,196,0.6,2855,2,2,1,0
248,1994,667,711,88,0.6,454,8,0,0,1
249,1283,1135,1923,80,0.2,3957,4,3,0,1
250,1426,1573,1694,174,0.7,1277,5,1,1,0
251,645,278,584,174,1.0,3615,4,2,1,0
252,825,206,1917,86,0.1,3278,2,3,1,0
253,1630,712,1726,80,0.9,1751,6,2,0,1
